,t2_towerKills,t1_towerKills,firstInhibitor,t2_inhibitorKills,t1_inhibitorKills,firstTower,firstBaron,t2_dragonKills,t1_dragonKills,t1_baronKills,t2_baronKills,firstDragon
26551,10,1,2,2,0,1,0,2,0,0,0,2
26552,9,2,2,2,0,2,0,2,1,0,0,1
26553,5,10,1,1,2,2,1,4,0,1,1,2
26554,0,11,1,0,3,1,0,0,1,0,0,1
26555,9,0,2,1,0,2,2,2,0,0,1,2
26556,4,9,1,0,1,1,2,1,4,1,1,1
26557,1,8,1,0,3,1,1,0,3,1,0,1
26558,0,0,0,0,0,0,0,0,0,0,0,0
26559,0,0,0,0,0,0,0,0,0,0,0,0
26560,11,0,2,3,0,2,0,3,0,0,0,2
26561,1,10,1,0,2,1,1,1,2,1,0,2
26562,2,8,1,0,1,1,0,0,2,0,0,1
26563,9,0,2,2,0,2,0,2,0,0,0,2
26564,3,8,1,0,1,1,0,1,2,0,0,1
26565,7,0,2,1,0,2,2,2,0,0,1,2
26566,10,3,2,3,0,1,2,3,0,0,2,2
26567,0,7,1,0,1,1,0,0,1,0,0,1
26568,10,1,2,2,0,2,0,0,0,0,0,0
26569,1,8,1,0,1,1,0,1,1,0,0,2
26570,11,4,2,3,0,1,2,3,1,0,1,2
26571,10,1,2,2,0,1,2,2,0,0,1,2
26572,10,4,2,2,0,1,2,2,1,0,1,2
26573,0,10,1,0,3,1,2,0,4,0,1,1
26574,1,9,1,0,2,1,0,0,2,0,0,1
26575,5,9,1,1,3,1,1,2,1,1,0,1
26576,10,9,2,3,2,2,2,3,2,0,2,2
26577,4,11,1,0,3,1,2,2,1,0,1,2
26578,5,3,0,0,0,1,0,1,0,0,0,2
26579,10,4,2,1,0,1,2,1,3,0,2,2
26580,10,4,2,3,0,1,2,3,1,0,1,1
26581,2,11,1,0,4,1,1,1,4,3,0,1
26582,11,2,2,4,0,2,0,4,0,0,0,2
26583,0,0,0,0,0,0,0,0,0,0,0,0
26584,0,4,0,0,0,1,0,0,1,0,0,1
26585,10,4,2,3,0,1,1,2,1,1,0,2
26586,9,2,2,1,0,2,0,1,0,0,0,2
26587,11,3,2,6,0,2,1,5,0,2,0,2
26588,0,11,1,0,2,1,0,1,1,0,0,2
26589,8,3,2,1,0,2,2,3,0,0,1,2
26590,0,11,1,0,4,1,1,1,3,1,0,1
26591,10,5,2,2,0,1,2,2,1,0,1,2
26592,3,8,1,0,1,2,2,2,1,0,1,2
26593,1,10,1,0,2,1,2,1,2,0,1,1
26594,9,8,1,1,3,2,1,1,4,1,1,1
26595,3,8,1,0,1,1,1,1,4,2,0,1
26596,10,2,2,3,0,2,2,2,0,0,1,2
26597,4,10,1,0,2,1,1,1,2,1,0,2
26598,3,5,0,0,0,1,0,0,2,0,0,1
26599,2,11,1,0,4,2,1,0,5,1,0,1
26600,8,8,2,2,2,1,1,2,3,2,0,1
26601,3,11,1,0,2,1,0,2,1,0,0,1
26602,11,2,2,4,0,2,2,3,1,0,2,1
26603,3,11,1,0,3,1,1,2,1,1,0,2
26604,3,9,1,0,1,2,1,1,3,2,0,1
26605,5,1,0,0,0,2,0,2,0,0,0,2
26606,11,0,2,3,0,2,0,3,0,0,0,2
26607,2,10,1,0,2,2,0,2,0,0,0,2
26608,10,5,2,3,0,2,2,3,0,0,1,2
26609,4,8,1,0,1,2,1,1,3,1,0,1
26610,4,9,1,0,1,1,1,2,1,1,0,1
26611,2,8,1,0,1,1,1,0,3,1,0,1
26612,1,9,1,0,1,1,0,0,3,0,0,1
26613,0,11,1,0,3,1,0,0,2,0,0,1
26614,1,11,1,0,3,1,1,0,4,1,0,1
26615,0,9,1,0,1,1,1,0,3,1,0,1
26616,8,1,2,2,0,2,0,2,0,0,0,2
26617,9,5,2,2,0,2,1,2,0,1,0,2
26618,6,11,1,0,2,2,2,3,1,0,1,2
26619,8,7,2,3,1,2,1,2,2,1,0,2
26620,11,3,2,3,0,1,1,4,1,1,1,1
26621,10,0,2,4,0,2,0,2,1,0,0,2
26622,4,9,1,0,1,2,0,1,1,0,0,2
26623,11,0,2,3,0,2,0,3,0,0,0,2
26624,9,9,2,2,0,2,1,1,4,1,1,1
26625,4,8,1,0,1,2,2,3,2,0,1,2
26626,5,9,1,0,2,1,1,1,2,1,0,1
26627,2,9,1,0,3,2,0,0,3,0,0,1
26628,10,2,2,4,0,2,2,5,0,1,1,2
26629,7,8,2,2,2,2,2,5,0,0,2,2
26630,4,4,0,0,0,2,1,1,2,1,0,2
26631,8,2,2,1,0,2,2,1,1,0,1,2
26632,8,1,2,1,0,2,0,1,1,0,0,2
26633,8,5,2,1,0,1,2,1,2,0,1,1
26634,7,2,2,1,0,2,0,3,0,0,0,2
26635,7,4,2,1,0,1,0,0,2,0,0,1
26636,3,0,0,0,0,2,0,2,0,0,0,2
26637,4,10,1,0,1,2,1,2,1,1,0,2
26638,11,2,2,4,0,2,0,2,0,0,0,2
26639,2,10,1,0,2,1,0,0,1,0,0,1
26640,7,0,2,2,0,2,0,2,0,0,0,2
26641,6,7,2,1,1,2,2,1,3,0,1,2
26642,2,11,1,0,4,1,1,0,4,1,0,1
26643,6,5,0,0,0,1,2,2,1,0,1,2
26644,3,11,1,0,2,2,1,1,2,1,0,1
26645,1,11,1,0,3,1,1,1,2,1,0,2
26646,9,7,2,3,3,1,2,4,1,0,2,1
26647,11,3,2,3,0,2,0,1,0,0,0,2
26648,11,5,1,3,1,1,2,0,3,0,2,1
26649,10,1,2,4,0,1,2,4,0,0,1,2
26650,0,3,0,0,0,1,0,1,1,0,0,1
26651,4,11,1,0,1,1,2,0,3,0,1,1
26652,10,3,2,1,0,1,0,1,1,0,0,1
26653,2,8,1,0,3,2,0,0,4,0,0,1
26654,11,1,2,3,0,2,0,1,2,0,0,1
26655,2,7,1,0,1,2,0,0,0,0,0,0
26656,6,1,0,0,0,2,0,1,0,0,0,2
26657,0,0,0,0,0,0,0,0,0,0,0,0
26658,11,4,2,2,0,2,2,1,2,0,1,1
26659,3,10,1,0,2,1,0,3,1,0,0,2
26660,9,8,2,1,1,2,2,3,1,1,1,2
26661,11,4,2,1,0,2,2,3,0,0,1,2
26662,9,3,2,2,0,2,2,3,1,0,1,1
26663,3,9,1,0,3,1,2,0,3,0,1,1
26664,2,11,1,0,3,2,0,1,2,0,0,1
26665,3,0,0,0,0,2,0,1,0,0,0,2
26666,11,2,2,2,0,2,2,3,1,0,1,2
26667,4,0,0,0,0,2,0,2,0,0,0,2
26668,0,11,1,0,3,1,0,1,2,0,0,1
26669,7,3,2,1,0,1,2,1,0,0,1,2
26670,9,2,2,1,0,1,0,2,0,0,0,2
26671,9,4,2,1,0,1,2,4,1,0,2,2
26672,5,7,1,0,2,1,1,0,2,1,0,1
26673,8,7,2,1,1,2,2,0,3,0,1,1
26674,1,11,1,0,3,1,0,0,2,0,0,1
26675,8,5,2,1,0,1,1,2,2,1,1,1
26676,0,9,1,0,2,1,0,0,2,0,0,1
26677,0,7,1,0,1,1,0,0,2,0,0,1
26678,6,10,1,0,2,1,1,1,3,1,0,1
26679,11,1,2,3,0,2,2,3,0,0,1,2
26680,2,8,1,0,1,2,1,2,1,1,0,2
26681,11,0,2,4,0,2,0,3,0,0,0,2
26682,4,8,1,0,1,2,1,1,3,1,0,1
26683,11,0,2,2,0,2,0,0,0,0,0,0
26684,2,11,1,0,3,1,1,0,5,1,0,1
26685,0,0,0,0,0,0,0,0,0,0,0,0
26686,11,8,2,2,1,2,2,4,3,0,2,1
26687,9,0,2,1,0,2,0,2,1,0,0,2
26688,0,4,0,0,0,1,0,0,2,0,0,1
26689,10,0,2,2,0,2,0,1,0,0,0,2
26690,1,10,1,0,2,1,0,0,3,0,0,1
26691,7,3,2,1,0,1,2,2,1,0,1,2
26692,1,10,1,0,2,1,0,0,2,0,0,1
